,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Souillac,-20.5167,57.5167,78.8,89,75,11.54,MU,1612881986
82,La Orilla,17.9833,-102.2333,74.07,71,3,5.55,MX,1612881986
83,Provideniya,64.3833,-173.3,-3.89,79,24,13.02,RU,1612881987
84,Pangnirtung,66.1451,-65.7125,3.2,78,1,8.05,CA,1612881987
85,Salta,-24.7859,-65.4117,60.8,94,90,8.05,AR,1612881983
86,Scarborough,54.2797,-0.4044,34.0,78,95,4.0,GB,1612881988
87,Egvekinot,66.3167,-179.1667,-11.11,77,90,9.1,RU,1612881988
88,Tikhvin,59.6451,33.5294,4.26,94,83,2.1,RU,1612881988
89,Abu Kamal,34.4506,40.9171,68.41,28,0,4.25,SY,1612881988
90,Thunder Bay,48.4001,-89.3168,-17.0,68,20,4.61,CA,1612881909
91,Kedrovyy,56.1667,91.8167,10.4,61,0,8.95,RU,1612881988
92,Camacha,33.0833,-16.3333,66.2,77,20,21.85,PT,1612881988
93,Grand Gaube,-20.0064,57.6608,81.0,70,38,5.01,MU,1612881988
94,Laela,-8.5667,32.05,65.97,93,100,2.28,TZ,1612881988
95,Kaitangata,-46.2817,169.8464,52.0,88,97,5.01,NZ,1612881988
96,Carutapera,-1.195,-46.02,86.04,65,100,8.05,BR,1612881988
97,Nong Phai,15.9903,101.0618,78.01,70,44,3.02,TH,1612881989
98,Castro,-24.7911,-50.0119,72.27,57,22,6.67,BR,1612881791
99,Aparecida do Taboado,-20.0867,-51.0936,87.42,43,0,1.41,BR,1612881989
100,Necochea,-38.5473,-58.7368,72.0,58,91,12.73,AR,1612881960
101,Arraial do Cabo,-22.9661,-42.0278,80.6,73,75,8.05,BR,1612881817
102,Pevek,69.7008,170.3133,-2.16,71,2,1.79,RU,1612881989
103,Comodoro Rivadavia,-45.8667,-67.5,69.8,73,0,6.91,AR,1612881989
104,Buala,-8.145,159.5921,78.76,86,76,9.86,SB,1612881989
105,Longyearbyen,78.2186,15.6401,12.2,79,0,4.61,SJ,1612881989
106,Kahului,20.8947,-156.47,66.2,88,90,19.57,US,1612881989
107,Severo-Kuril'sk,50.6789,156.125,25.56,91,100,25.19,RU,1612881989
108,Lakatoro,-16.0999,167.4164,79.03,71,3,2.28,VU,1612881989
109,Verkhnyaya Syrovatka,50.829,34.9586,26.04,98,100,10.09,UA,1612881989
110,Faya,18.3851,42.4509,60.8,51,75,9.22,SA,1612881990
111,Somerset,40.5668,-74.5496,32.0,68,90,5.75,US,1612881990
112,Ndélé,8.4109,20.6473,94.48,10,92,6.49,CF,1612881990
113,Hermanus,-34.4187,19.2345,79.0,66,0,1.01,ZA,1612881990
114,Lengshuitan,26.4111,111.5956,48.74,91,100,3.22,CN,1612881990
115,Raudeberg,61.9875,5.1352,26.6,46,0,3.38,NO,1612881990
116,Lagoa,39.05,-27.9833,61.07,88,100,33.78,PT,1612881990
117,Maceió,-9.6658,-35.7353,86.0,62,40,11.5,BR,1612881764
118,Touros,-5.1989,-35.4608,87.8,55,40,13.8,BR,1612881990
119,Cidreira,-30.1811,-50.2056,77.76,65,0,15.64,BR,1612881991
120,Hamilton,39.1834,-84.5333,28.4,86,90,4.61,US,1612881930
121,Lumphat,13.4878,106.9816,77.31,66,66,4.07,KH,1612881992
122,Batamshinskiy,50.5594,58.2747,-7.6,64,0,20.13,KZ,1612881992
123,Talnakh,69.4865,88.3972,-11.6,89,15,1.97,RU,1612881992
124,Manbij,36.5281,37.9549,60.8,59,20,3.2,SY,1612881992
125,Lumsden,50.6501,-104.8678,-18.0,76,20,23.02,CA,1612881992
126,Sitrah,26.1547,50.6206,68.0,77,20,18.41,BH,1612881992
127,Qaanaaq,77.484,-69.3632,19.02,74,0,5.06,GL,1612881992
128,Tasiilaq,65.6145,-37.6368,19.4,58,75,25.32,GL,1612881992
129,San Patricio,28.017,-97.5169,71.6,100,90,4.61,US,1612881992
130,Tuktoyaktuk,69.4541,-133.0374,-38.2,67,1,11.5,CA,1612881992
131,Mandalgovi,45.7625,106.2708,21.97,80,0,10.87,MN,1612881992
132,Norman Wells,65.282,-126.8329,-45.4,73,1,2.3,CA,1612881992
133,Tiznit Province,29.5833,-9.5,62.73,56,3,10.25,MA,1612881837
134,Mar del Plata,-38.0023,-57.5575,68.0,68,40,17.27,AR,1612881766
135,Iglesias,39.3114,8.535,63.0,63,40,20.71,IT,1612881992
136,Lüderitz,-26.6481,15.1594,74.26,59,6,10.74,NA,1612881993
137,Sirte,31.2089,16.5887,71.44,30,0,6.49,LY,1612881993
138,Gōtsuchō,35.0,132.2167,38.08,76,6,7.9,JP,1612881993
139,Olinda,-8.0089,-34.8553,82.4,61,40,11.5,BR,1612881741
140,Umluj,25.0213,37.2685,81.05,40,1,11.27,SA,1612881993
141,Turukhansk,65.8167,87.9833,5.59,94,100,8.25,RU,1612881993
142,San Matías,-16.3667,-58.4,96.85,35,92,1.68,BO,1612881993
143,Perg,48.25,14.6333,39.0,75,90,9.22,AT,1612881993
144,Burla,21.5,83.8667,65.93,34,11,1.59,IN,1612881993
145,Lethem,3.3803,-59.7968,85.93,50,56,12.1,GY,1612881993
146,Kenai,60.5544,-151.2583,3.99,71,1,10.04,US,1612881993
147,Elk City,35.412,-99.4043,15.8,92,90,8.05,US,1612881914
148,Pitimbu,-7.4706,-34.8086,89.6,55,40,13.8,BR,1612881993
149,Westport,41.1415,-73.3579,30.0,93,90,8.05,US,1612881993
150,Baykit,61.67,96.37,5.29,89,93,5.12,RU,1612881994
151,Chui,-33.6971,-53.4616,73.06,77,3,9.04,UY,1612881994
152,Alice Springs,-23.7,133.8833,78.8,73,28,6.91,AU,1612881732
153,Walvis Bay,-22.9575,14.5053,71.01,68,0,14.97,NA,1612881994
154,Avarua,-21.2078,-159.775,75.2,100,100,1.14,CK,1612881994
155,Kruisfontein,-34.0033,24.7314,80.01,55,0,7.0,ZA,1612881994
156,Fort Saint James,54.4333,-124.25,-16.91,86,100,2.46,CA,1612881994
157,Yorkton,51.2167,-102.4677,-16.6,69,40,17.27,CA,1612881909
158,Suez,29.9737,32.5263,74.16,25,100,3.69,EG,1612881994
159,Mossamedes,-15.1961,12.1522,76.91,67,36,14.9,AO,1612881994
160,Santander,43.4647,-3.8044,55.99,71,20,11.5,ES,1612881910
161,Jamestown,42.097,-79.2353,23.0,86,90,3.2,US,1612881844
162,Gurupi,-11.7292,-49.0686,83.19,72,53,3.02,BR,1612881994
163,Kudirkos Naumiestis,54.7731,22.8631,16.11,97,100,9.48,LT,1612881995
164,New Milford,40.9327,-74.0179,32.0,74,90,5.88,US,1612881995
165,Gijang,35.2442,129.2139,32.0,51,0,1.14,KR,1612881995
166,Salalah,17.0151,54.0924,80.6,44,20,5.75,OM,1612881995
167,Paamiut,61.994,-49.6678,33.76,83,100,7.4,GL,1612881995
168,Nome,64.5011,-165.4064,0.0,50,1,12.66,US,1612881995
169,Tilichiki,60.4667,166.1,19.69,93,100,12.17,RU,1612881995
170,Santa Vitória do Palmar,-33.5189,-53.3681,73.83,75,0,8.7,BR,1612881995
171,Davila,18.4726,120.5763,75.67,77,81,23.33,PH,1612881995
172,Dospat,41.65,24.1667,42.57,86,75,10.49,BG,1612881995
173,Payo,-3.7508,103.6372,75.02,94,100,2.15,ID,1612881996
174,Tiquisio,8.5597,-74.2669,90.19,51,100,2.95,CO,1612881997
175,Tessalit,20.1986,1.0114,89.55,9,5,3.83,ML,1612881997
176,Leningradskiy,69.3833,178.4167,-25.74,83,29,11.16,RU,1612881997
177,Jarabacoa,19.1218,-70.6422,77.0,88,75,10.36,DO,1612881997
178,Maningrida,-12.0667,134.2667,80.56,85,100,8.05,AU,1612881998
179,Khatanga,71.9667,102.5,-22.13,83,0,8.81,RU,1612881998
180,Halifax,44.6453,-63.5724,21.2,58,20,13.8,CA,1612881943
181,Port Hardy,50.6996,-127.4199,33.8,80,20,8.05,CA,1612881998
182,Laguna,38.421,-121.4238,52.0,82,75,6.91,US,1612881998
183,Caucaia,-3.7361,-38.6531,86.0,70,40,9.22,BR,1612881722
184,Aswān,24.0934,32.907,85.51,19,100,5.03,EG,1612881998
185,Ushtobe,45.2514,77.9838,22.55,98,100,9.57,KZ,1612881998
186,Argelia,2.2556,-77.2488,69.58,76,100,0.13,CO,1612881998
187,Kautokeino,69.0125,23.0412,4.95,91,7,8.43,NO,1612881998
188,Calabozo,8.9242,-67.4293,87.94,44,45,11.03,VE,1612881837
189,Sitka,57.0531,-135.33,14.0,48,1,8.05,US,1612881998
190,Luau,-10.7073,22.2247,75.61,85,94,6.49,AO,1612881999
191,Palmer,42.1584,-72.3287,25.0,79,90,3.02,US,1612881999
192,Xinyu,27.8043,114.9334,49.5,92,100,2.68,CN,1612881999
193,Bowen,-20.0167,148.2333,78.8,89,90,9.22,AU,1612881813
194,Gorin,51.1983,136.6669,-4.79,91,97,1.28,RU,1612881999
195,Novyy Buyan,53.6861,50.0469,-0.4,71,0,6.71,RU,1612881999
196,Greenlaw,55.7068,-2.4624,30.99,94,81,3.0,GB,1612881999
197,Mokrousovo,55.8103,66.7653,-10.01,89,100,11.65,RU,1612881999
198,Bristol,41.8334,-71.1662,27.0,78,100,5.68,US,1612881747
199,Aljezur,37.3191,-8.8033,59.0,100,96,8.99,PT,1612881999
200,Krasnoyarka,55.3333,73.1167,-13.0,64,75,8.95,RU,1612881999
201,Sydney,-33.8679,151.2073,69.01,82,40,11.5,AU,1612881997
202,Diego de Almagro,-26.3667,-70.05,79.59,24,0,7.49,CL,1612881999
203,Lufilufi,-13.8745,-171.5986,78.01,94,100,8.01,WS,1612881999
204,Bethel,41.3712,-73.414,25.0,93,75,4.61,US,1612882000
205,Mayo,38.8876,-76.5119,39.0,80,90,9.17,US,1612882000
206,Beloha,-25.1667,45.05,75.83,86,100,6.62,MG,1612882000
207,Baltasi,56.3462,50.2062,-4.68,90,51,7.56,RU,1612882000
208,Baie-Saint-Paul,47.4411,-70.4986,12.99,66,98,8.05,CA,1612881731
209,Lesogorsk,56.0458,99.5136,15.03,92,100,6.17,RU,1612882000
210,Nacimiento,-37.5,-72.6667,75.2,53,0,9.22,CL,1612882000
211,San Quintín,30.4833,-115.95,53.73,86,99,1.45,MX,1612882001
212,Port Hedland,-20.3167,118.5667,80.6,78,7,14.97,AU,1612882001
213,Kaeo,-35.1,173.7833,70.0,92,100,5.99,NZ,1612882001
214,Safford,32.834,-109.7076,51.01,51,1,1.01,US,1612882001
215,Banda Aceh,5.5577,95.3222,80.22,78,43,10.22,ID,1612882001
216,Arzamas,55.3949,43.8399,2.88,92,100,4.29,RU,1612882001
217,Bosaso,11.2842,49.1816,78.8,69,0,17.27,SO,1612882001
218,Xichang,27.8964,102.2634,45.9,57,2,2.68,CN,1612882001
219,Payakumbuh,-0.2202,100.6308,72.12,89,100,2.28,ID,1612882001
220,La Paz,-16.5,-68.15,53.6,58,40,6.91,BO,1612881875
221,Hong Kong,22.2855,114.1577,66.0,84,90,1.01,HK,1612881714
222,Virginia Beach,36.8529,-75.978,59.0,63,90,8.05,US,1612881966
223,Port-Gentil,-0.7193,8.7815,87.8,70,40,8.05,GA,1612882002
224,Bilma,18.6853,12.9164,89.92,10,99,11.23,NE,1612882002
225,Kutina,45.475,16.7819,46.4,87,75,3.44,HR,1612882002
226,Songjianghe,42.1859,127.479,11.84,94,0,6.49,CN,1612882002
227,Sydney Mines,46.2367,-60.2177,26.01,74,75,28.77,CA,1612882002
228,Fort-Shevchenko,44.5086,50.263,37.29,79,100,17.25,KZ,1612882003
229,Oytal,42.9057,73.2697,29.19,95,100,4.94,KZ,1612882003
230,Brae,60.3964,-1.353,32.0,55,40,19.57,GB,1612882003
231,Tomatlán,19.9333,-105.25,68.41,77,7,1.07,MX,1612882003
232,Cabo San Lucas,22.8909,-109.9124,57.2,72,1,9.22,MX,1612881965
233,Tombouctou,20.0,-3.0,84.0,11,1,9.28,ML,1612882003
234,Merauke,-8.4667,140.3333,80.06,86,100,4.68,ID,1612882003
235,Saint Anthony,45.0205,-93.218,0.0,78,1,3.44,US,1612882003
236,Vila Franca do Campo,37.7167,-25.4333,62.01,94,75,19.57,PT,1612882003
237,Ilulissat,69.2167,-51.1,23.0,39,1,17.27,GL,1612882003
238,Port Elizabeth,-33.918,25.5701,77.0,69,0,12.66,ZA,1612882003
239,Nouakchott,18.0858,-15.9785,84.2,11,91,14.97,MR,1612882003
240,Caruray,10.3094,119.0128,77.04,84,58,7.29,PH,1612882003
241,Lata,40.1629,-8.3327,59.0,89,50,4.0,PT,1612882003
242,Bo Phloi,14.3236,99.5161,76.62,72,30,2.44,TH,1612882003
243,Yumen,40.2833,97.2,35.49,67,15,11.88,CN,1612882004
244,Nara,34.6851,135.8049,39.99,81,3,1.99,JP,1612881998
245,Kavaratti,10.5669,72.642,81.84,65,2,8.66,IN,1612882004
246,Yarqā,31.9785,35.6947,69.8,34,0,3.44,JO,1612882004
247,Edendale,-29.6528,30.3147,72.0,91,51,6.4,ZA,1612882004
248,Lexington,37.9887,-84.4777,33.01,93,90,8.05,US,1612882004
249,Maināguri,26.5667,88.8167,65.64,38,0,4.03,IN,1612882004
250,Pasaco,13.9772,-90.2064,75.2,83,40,3.0,GT,1612882004
251,‘Āhuimanu,21.4447,-157.8378,71.6,53,75,14.97,US,1612882004
252,Tiksi,71.6872,128.8694,-19.53,84,19,4.03,RU,1612882004
253,Sweetwater,25.7634,-80.3731,80.01,78,75,9.22,US,1612882004
254,Vanimo,-2.6741,141.3028,78.21,85,90,4.76,PG,1612882004
255,Arys,42.4252,68.795,30.2,93,90,8.95,KZ,1612882004
256,Cururupu,-1.8283,-44.8683,89.6,53,62,7.07,BR,1612881721
257,Nambucca Heads,-30.65,153.0,64.4,88,18,5.75,AU,1612882005
258,Touba,8.2833,-7.6833,98.8,12,6,7.65,CI,1612882005
259,Mitchell,43.7094,-98.0298,1.4,78,1,8.05,US,1612881841
260,Morant Bay,17.8815,-76.4093,82.99,69,20,13.8,JM,1612882005
261,Chateaubelair,13.2833,-61.25,80.6,69,75,12.66,VC,1612882005
262,Sola,-13.8833,167.55,81.41,74,100,5.35,VU,1612882005
263,Dauphin,51.1494,-100.0502,-14.8,64,90,14.97,CA,1612882005
264,Haines Junction,60.7522,-137.5108,-41.8,60,71,1.14,CA,1612881850
265,Pochutla,15.7432,-96.4661,77.0,60,1,1.36,MX,1612882005
266,Lorengau,-2.0226,147.2712,82.15,76,68,4.14,PG,1612882005
267,Sinnamary,5.3833,-52.95,81.63,71,99,12.68,GF,1612882005
268,Narsaq,60.9167,-46.05,37.4,28,40,34.52,GL,1612882005
269,Narrabri,-30.3167,149.7833,69.8,56,62,10.36,AU,1612882005
270,Port Lincoln,-34.7333,135.8667,70.83,57,40,10.8,AU,1612882005
271,Qaqortoq,60.7167,-46.0333,37.4,28,40,34.52,GL,1612882005
272,Morón,-34.6534,-58.6198,80.01,54,8,5.99,AR,1612881819
273,Mbekenyera,-10.0,38.9833,75.43,88,100,10.98,TZ,1612882006
274,Östersund,63.1792,14.6357,17.6,93,40,8.05,SE,1612882006
275,Cochrane,51.1834,-114.4687,-23.01,75,1,4.61,CA,1612881910
276,Provincia di Oristano,39.9,8.6,62.6,63,40,20.71,IT,1612882006
277,Kailua,21.4022,-157.7394,71.6,53,75,14.97,US,1612881910
278,Daphne,30.6035,-87.9036,57.99,94,90,6.91,US,1612881758
279,Khani,41.9563,42.9566,57.2,77,75,9.22,GE,1612882006
280,Waipawa,-41.4122,175.5153,64.4,94,90,21.85,NZ,1612882006
281,Pundaguitan,6.3711,126.1689,81.14,82,100,9.66,PH,1612882006
282,Fareydūnshahr,32.941,50.121,34.93,71,98,2.21,IR,1612882006
283,Vostok,46.4856,135.8833,-4.86,92,100,5.46,RU,1612882006
284,Guatire,10.4762,-66.5427,82.4,74,75,5.35,VE,1612882006
285,Cayenne,4.9333,-52.3333,82.4,69,75,13.8,GF,1612881744
286,Auki,-8.7676,160.7034,78.85,88,96,11.95,SB,1612882007
287,Hvide Sande,56.0045,8.1294,27.0,80,75,9.22,DK,1612882007
288,Gambēla,8.25,34.5833,99.43,14,99,5.61,ET,1612881900
289,Portland,45.5234,-122.6762,33.8,93,75,2.13,US,1612881535
290,Umm Kaddadah,13.6017,26.6876,84.34,13,75,11.74,SD,1612882007
291,Menzel Salem,35.8567,8.4765,64.4,24,0,9.22,TN,1612882007
292,La Palma,33.8464,-118.0467,55.4,71,90,4.61,US,1612881913
293,Qiongshan,20.0058,110.3542,71.6,100,75,2.24,CN,1612882007
294,Sokoni,-6.4333,39.55,84.2,74,75,18.41,TZ,1612882007
295,Laxou,48.6832,6.148,46.4,80,90,4.61,FR,1612881734
296,Beringovskiy,63.05,179.3167,-2.69,92,100,11.32,RU,1612882007
297,Saint George,37.1041,-113.5841,39.2,52,1,5.75,US,1612882007
298,Igrim,63.1906,64.4162,-22.5,87,87,4.61,RU,1612882008
299,Dingle,10.9995,122.6711,74.43,93,100,4.83,PH,1612882008
300,Bulungu,-4.55,18.6,89.71,52,100,2.71,CD,1612882008
301,Orlik,52.5178,99.825,18.36,84,93,4.07,RU,1612882008
302,Arjona,10.2544,-75.3439,86.0,70,0,3.44,CO,1612882008
303,Sumenep,-7.0167,113.8667,79.79,83,100,10.56,ID,1612882008
304,Sudogda,55.9539,40.8629,7.09,94,100,4.83,RU,1612882008
305,Morondava,-20.2833,44.2833,81.79,75,100,6.29,MG,1612882008
306,Pueblo,38.2545,-104.6091,35.01,86,90,6.91,US,1612881710
307,Hobyo,5.3505,48.5268,78.57,66,64,22.55,SO,1612882008
308,Tepalcatepec,19.1833,-102.85,72.93,40,0,0.63,MX,1612881913
309,Beatrice,40.2681,-96.747,-8.0,77,1,4.29,US,1612882008
310,Klaksvík,62.2266,-6.589,32.0,80,20,5.75,FO,1612882008
311,Umm Hājar,13.2954,19.6966,91.36,9,16,6.2,TD,1612882008
312,Torbay,47.6666,-52.7314,34.0,93,90,37.98,CA,1612882008
313,Viiratsi,58.36,25.6372,10.0,78,0,5.75,EE,1612882009
314,Naryan-Mar,67.6713,53.087,-10.59,90,100,7.16,RU,1612882009
315,Dudinka,69.4058,86.1778,-11.72,90,7,9.01,RU,1612882010
316,Komsomolets,53.7453,62.0708,-10.5,85,0,10.11,KZ,1612881806
317,Yar-Sale,66.8333,70.8333,-26.14,85,11,9.08,RU,1612882010
318,Igarka,67.4667,86.5833,-1.43,91,100,13.04,RU,1612882010
319,Iqaluit,63.7506,-68.5145,12.2,79,20,3.44,CA,1612882010
320,Bambous Virieux,-20.3428,57.7575,81.0,89,75,12.17,MU,1612882010
321,Pacific Grove,36.6177,-121.9166,52.0,81,1,1.32,US,1612882010
322,Pirovskoye,57.6267,92.2658,1.22,89,100,11.23,RU,1612882010
323,Sīrjān,29.452,55.6814,55.94,33,0,7.16,IR,1612882010
324,São Filipe,14.8961,-24.4956,72.32,69,83,10.92,CV,1612882010
325,Sassandra,4.95,-6.0833,84.42,72,18,8.52,CI,1612882010
326,Rabak,13.1809,32.74,91.71,11,89,8.25,SD,1612882010
327,Jumla,29.2747,82.1838,41.7,63,35,4.56,NP,1612882011
328,Limerick,52.6647,-8.6231,37.4,56,75,17.27,IE,1612881727
329,Ostrovnoy,68.0531,39.5131,1.87,85,31,1.92,RU,1612882011
330,Mount Gambier,-37.8333,140.7667,55.4,88,0,3.44,AU,1612882011
331,Pirapó,-26.85,-55.5333,84.2,54,0,4.61,PY,1612882011
332,Morgan City,29.6994,-91.2068,61.0,100,90,4.61,US,1612882011
333,Fairbanks,64.8378,-147.7164,-25.6,62,1,4.61,US,1612882011
334,Kamenka,51.3223,42.7678,7.0,89,100,7.0,RU,1612882011
335,Eureka,40.8021,-124.1637,39.99,96,99,4.12,US,1612882011
336,Namatanai,-3.6667,152.4333,78.28,88,100,6.4,PG,1612882011
337,Maniitsoq,65.4167,-52.9,22.6,82,0,5.5,GL,1612882011
338,Zrenjanin,45.3836,20.3819,57.0,82,0,5.75,RS,1612882011
339,Bintulu,3.1667,113.0333,80.6,89,40,2.3,MY,1612882011
340,Española,35.9911,-106.0806,37.4,30,1,4.61,US,1612882012
341,Kalmunai,7.4167,81.8167,75.29,79,68,12.41,LK,1612882012
342,Asău,46.4333,26.4,52.0,71,0,5.75,RO,1612882012
343,Te Anau,-45.4167,167.7167,46.63,90,99,3.24,NZ,1612882012
344,Vestmanna,62.1564,-7.1664,32.0,80,20,5.75,FO,1612882012
345,Aykhal,66.0,111.5,-18.65,86,95,7.34,RU,1612882012
346,Rio Verde de Mato Grosso,-18.9181,-54.8442,86.27,45,20,5.44,BR,1612882012
347,Tabuk,17.4189,121.4443,68.85,90,99,6.29,PH,1612882012
348,Ambunti,-4.2365,142.8448,75.24,97,100,1.12,PG,1612882012
349,Sakakah,29.9697,40.2064,69.8,26,0,3.44,SA,1612881726
350,Nanortalik,60.1432,-45.2371,31.64,90,99,12.91,GL,1612882012
351,Frederikssund,55.8396,12.069,27.0,74,100,5.01,DK,1612882012
352,Luganville,-15.5333,167.1667,77.7,78,1,2.33,VU,1612882012
353,Kodinsk,58.6881,99.1844,10.92,92,100,9.06,RU,1612882012
354,La Ronge,55.1001,-105.2842,-23.8,62,100,10.36,CA,1612882012
355,Arrondissement de Dieppe,49.75,1.1667,28.0,73,30,14.72,FR,1612882013
356,Wanning,18.8003,110.3967,66.47,93,100,12.68,CN,1612882013
